,neighborhood,total_appts,kept_appts,missed_appts,%_kept
0,JARDIM DA PENHA,3877,3246,631,83.72
1,MATA DA PRAIA,644,534,110,82.92
2,PONTAL DE CAMBURI,69,57,12,82.61
3,REPÚBLICA,835,692,143,82.87
4,GOIABEIRAS,700,563,137,80.43
5,ANDORINHAS,2262,1741,521,76.97
6,CONQUISTA,849,689,160,81.15
7,NOVA PALESTINA,2264,1862,402,82.24
8,DA PENHA,2217,1788,429,80.65
9,TABUAZEIRO,3132,2559,573,81.7
10,BENTO FERREIRA,858,665,193,77.51
11,SÃO PEDRO,2448,1933,515,78.96
12,SANTA MARTHA,3131,2635,496,84.16
13,SÃO CRISTÓVÃO,1836,1473,363,80.23
14,MARUÍPE,1902,1478,424,77.71
15,GRANDE VITÓRIA,1071,854,217,79.74
16,SÃO BENEDITO,1439,1152,287,80.06
17,ILHA DAS CAIEIRAS,1071,836,235,78.06
18,SANTO ANDRÉ,2571,2063,508,80.24
19,SOLON BORGES,469,400,69,85.29
20,BONFIM,2773,2223,550,80.17
21,JARDIM CAMBURI,7717,6252,1465,81.02
22,MARIA ORTIZ,5805,4586,1219,79.0
23,JABOUR,2509,2058,451,82.02
24,ANTÔNIO HONÓRIO,271,221,50,81.55
25,RESISTÊNCIA,4431,3525,906,79.55
26,ILHA DE SANTA MARIA,1885,1524,361,80.85
27,JUCUTUQUARA,694,561,133,80.84
28,MONTE BELO,824,658,166,79.85
29,MÁRIO CYPRESTE,371,317,54,85.44
30,SANTO ANTÔNIO,2746,2262,484,82.37
31,BELA VISTA,1907,1523,384,79.86
32,PRAIA DO SUÁ,1288,994,294,77.17
33,SANTA HELENA,178,141,37,79.21
34,ITARARÉ,3514,2591,923,73.73
35,INHANGUETÁ,1057,855,202,80.89
36,UNIVERSITÁRIO,152,120,32,78.95
37,SÃO JOSÉ,1977,1549,428,78.35
38,REDENÇÃO,1553,1278,275,82.29
39,SANTA CLARA,506,372,134,73.52
40,CENTRO,3334,2631,703,78.91
41,PARQUE MOSCOSO,802,623,179,77.68
42,DO MOSCOSO,413,321,92,77.72
43,SANTOS DUMONT,1276,907,369,71.08
44,CARATOÍRA,2565,1974,591,76.96
45,ARIOVALDO FAVALESSA,282,220,62,78.01
46,ILHA DO FRADE,10,8,2,80.0
47,GURIGICA,2018,1562,456,77.4
48,JOANA D´ARC,1427,1169,258,81.92
49,CONSOLAÇÃO,1376,1139,237,82.78
50,PRAIA DO CANTO,1035,845,190,81.64
51,BOA VISTA,312,254,58,81.41
52,MORADA DE CAMBURI,96,80,16,83.33
53,SANTA LUÍZA,428,351,77,82.01
54,SANTA LÚCIA,438,352,86,80.37
55,BARRO VERMELHO,423,332,91,78.49
56,ESTRELINHA,538,432,106,80.3
57,FORTE SÃO JOÃO,1889,1543,346,81.68
58,FONTE GRANDE,682,533,149,78.15
59,ENSEADA DO SUÁ,235,183,52,77.87
60,SANTOS REIS,547,435,112,79.52
61,PIEDADE,452,364,88,80.53
62,JESUS DE NAZARETH,2853,2157,696,75.6
63,SANTA TEREZA,1332,1060,272,79.58
64,CRUZAMENTO,1398,1094,304,78.25
65,ILHA DO PRÍNCIPE,2266,1734,532,76.52
66,ROMÃO,2215,1741,474,78.6
67,COMDUSA,310,254,56,81.94
68,SANTA CECÍLIA,448,325,123,72.54
69,VILA RUBIM,851,710,141,83.43
70,DE LOURDES,305,258,47,84.59
71,DO QUADRO,849,709,140,83.51
72,DO CABRAL,560,472,88,84.29
73,HORTO,175,133,42,76.0
74,SEGURANÇA DO LAR,145,117,28,80.69
75,ILHA DO BOI,35,32,3,91.43
76,FRADINHOS,258,210,48,81.4
77,NAZARETH,135,106,29,78.52
78,AEROPORTO,8,7,1,87.5
79,ILHAS OCEÂNICAS DE TRINDADE,2,0,2,0.0
80,PARQUE INDUSTRIAL,1,1,0,100.0
